[A]
1	B
2	B
3	E
4	D
5	C
6	C
7	E
8	D
9	B
10	E
11	C
12	B
13	D
14	E
15	B
16	D
17	C
18	B
19	E
20	D
21	C
22	B
23	D
24	C
25	E

[B]
1	B
2	E
3	B
4	D
5	C
6	E
7	C
8	D
9	B
10	D
11	E
12	B
13	C
14	E
15	D
16	C
17	B
18	B
19	C
20	D
21	E
22	B
23	E
24	D
25	C

[C]
1	B
2	D
3	C
4	E
5	B
6	E
7	C
8	B
9	D
10	C
11	D
12	E
13	B
14	B
15	E
16	C
17	D
18	B
19	C
20	E
21	D
22	E
23	C
24	D
25	B

[D]
1	B
2	D
3	B
4	C
5	E
6	C
7	E
8	D
9	B
10	C
11	E
12	B
13	D
14	B
15	D
16	E
17	C
18	D
19	C
20	E
21	B
22	B
23	D
24	E
25	C
